respondent_id,company_has_ai_policy,ai_bias_concern_level,data_privacy_concern_level,supports_ai_regulation,has_experienced_ai_misuse,trust_in_ai_decisions
R00001,No,5,5,Neutral,No,Low
R00002,Don't know,3,1,Agree,No,High
R00003,Yes - formal,5,5,Strongly agree,Unsure,Moderate
R00004,No,3,4,Agree,No,Low
R00005,Yes - informal,3,3,Agree,Unsure,High
R00006,Yes - informal,3,5,Agree,Unsure,Moderate
R00007,Yes - formal,1,2,Disagree,Unsure,Low
R00008,Don't know,5,1,Disagree,No,Moderate
R00009,Yes - informal,3,2,Neutral,No,Low
R00010,Don't know,5,3,Neutral,No,Low
R00011,Yes - informal,2,4,Neutral,No,Low
R00012,Don't know,1,4,Strongly agree,Yes,High
R00013,No,4,5,Neutral,Yes,Moderate
R00014,No,3,3,Neutral,No,Low
R00015,No,4,2,Agree,No,Low
R00016,Yes - informal,4,4,Strongly agree,No,Low
R00017,Yes - informal,3,1,Agree,No,High
R00018,No,3,3,Strongly disagree,No,High
R00019,No,5,3,Agree,Unsure,Moderate
R00020,Don't know,1,5,Agree,Yes,Moderate
R00021,Yes - informal,4,5,Strongly disagree,No,Low
R00022,Don't know,3,2,Strongly agree,Yes,Moderate
R00023,Yes - formal,4,5,Agree,No,Low
R00024,No,5,5,Neutral,No,Low
R00025,No,5,5,Disagree,No,Moderate
R00026,No,4,5,Agree,Unsure,Low
R00027,No,4,5,Strongly disagree,No,Moderate
R00028,Don't know,5,5,Neutral,No,Moderate
R00029,No,3,5,Strongly agree,Yes,Low
R00030,Yes - formal,5,1,Neutral,Yes,Moderate
R00031,Yes - formal,4,4,Strongly agree,Unsure,Low
R00032,Yes - formal,1,2,Agree,No,Moderate
R00033,Don't know,4,1,Neutral,Yes,Very low
R00034,Don't know,3,2,Neutral,No,Low
R00035,Don't know,4,5,Neutral,Yes,Low
R00036,No,5,4,Strongly agree,No,High
R00037,Don't know,5,2,Neutral,No,Low
R00038,Don't know,1,3,Neutral,Unsure,Low
R00039,Yes - formal,4,4,Strongly agree,Unsure,Very low
R00040,No,4,4,Disagree,No,Moderate
R00041,No,4,5,Agree,No,Moderate
R00042,Don't know,4,3,Agree,Yes,Very low
R00043,No,4,2,Agree,No,Moderate
R00044,No,3,3,Disagree,No,Low
R00045,No,5,3,Neutral,No,Low
R00046,Yes - formal,5,3,Agree,Yes,High
R00047,No,4,4,Neutral,No,Moderate
R00048,Don't know,4,4,Agree,Unsure,High
R00049,Yes - informal,5,3,Neutral,No,Moderate
R00050,Yes - formal,4,3,Agree,No,Very low
R00051,Don't know,4,4,Strongly disagree,No,Low
R00052,No,4,5,Agree,No,High
R00053,Yes - formal,5,5,Neutral,No,Moderate
R00054,Don't know,3,5,Agree,No,High
R00055,Yes - formal,4,5,Agree,No,High
R00056,Yes - formal,4,2,Neutral,Yes,Moderate
R00057,No,4,5,Neutral,Unsure,Low
R00058,Yes - formal,4,5,Disagree,No,High
R00059,Yes - informal,3,4,Neutral,Unsure,Low
R00060,Yes - formal,4,4,Agree,Unsure,High
R00061,No,4,5,Strongly agree,No,Low
R00062,No,5,5,Strongly disagree,Yes,Moderate
R00063,No,3,3,Strongly agree,Unsure,Moderate
R00064,Don't know,1,5,Neutral,No,Low
R00065,No,3,2,Agree,No,Low
R00066,No,5,4,Agree,Unsure,Moderate
R00067,No,4,2,Agree,Yes,Moderate
R00068,No,5,4,Agree,Unsure,High
R00069,No,5,5,Strongly agree,Unsure,Low
R00070,Yes - formal,2,3,Disagree,No,Moderate
R00071,Don't know,4,5,Strongly agree,No,Moderate
R00072,Yes - formal,4,5,Agree,Unsure,Moderate
R00073,Yes - formal,5,5,Agree,No,Low
R00074,No,3,5,Neutral,Unsure,Low
R00075,Yes - formal,4,4,Agree,Yes,Low
R00076,No,2,4,Strongly agree,No,Low
R00077,Yes - informal,3,4,Disagree,No,Low
R00078,No,5,3,Agree,Yes,Moderate
R00079,No,4,5,Strongly agree,No,Very low
R00080,Yes - formal,2,2,Agree,Unsure,Moderate
R00081,No,5,4,Agree,Unsure,High
R00082,Don't know,2,2,Disagree,Unsure,Moderate
R00083,No,3,4,Strongly disagree,No,High
R00084,Don't know,4,2,Agree,No,Low
R00085,No,5,3,Disagree,No,High
R00086,Don't know,2,3,Disagree,No,Moderate
R00087,Don't know,2,1,Agree,No,Moderate
R00088,Yes - formal,3,5,Agree,Unsure,Very low
R00089,No,3,3,Strongly agree,Unsure,Moderate
R00090,No,5,5,Agree,Unsure,Low
R00091,Yes - formal,4,4,Agree,Unsure,Moderate
R00092,No,5,3,Strongly agree,No,Moderate
R00093,No,4,5,Neutral,No,Low
R00094,No,3,3,Neutral,Yes,High
R00095,No,4,5,Neutral,No,Very low
R00096,No,5,4,Agree,No,Moderate
R00097,Don't know,3,4,Neutral,Yes,High
R00098,Yes - informal,4,4,Agree,No,Moderate
R00099,Yes - informal,4,3,Agree,No,Moderate
R00100,Don't know,1,4,Neutral,Unsure,Moderate
R00101,No,5,4,Neutral,No,High
R00102,No,5,4,Strongly agree,No,High
R00103,Yes - formal,5,4,Agree,Yes,High
R00104,Yes - informal,4,2,Strongly disagree,Unsure,Moderate
R00105,Don't know,5,3,Disagree,Unsure,Moderate
R00106,Yes - informal,4,3,Agree,No,Moderate
R00107,Yes - informal,4,4,Neutral,Unsure,Low
R00108,No,4,4,Disagree,No,Low
R00109,Yes - informal,2,5,Neutral,No,Moderate
R00110,No,5,5,Neutral,No,High
R00111,Yes - formal,3,2,Neutral,Unsure,Low
R00112,No,2,5,Neutral,Unsure,Very low
R00113,Yes - informal,5,4,Strongly agree,No,Low
R00114,Don't know,4,5,Agree,Unsure,Moderate
R00115,Yes - formal,4,4,Strongly agree,No,Low
R00116,Yes - formal,4,4,Disagree,No,Very low
R00117,Yes - informal,1,4,Neutral,Unsure,Very low
R00118,Don't know,2,4,Agree,Unsure,Moderate
R00119,Don't know,4,1,Agree,No,High
R00120,Don't know,4,4,Agree,No,Low
R00121,Yes - formal,4,4,Strongly agree,Yes,Moderate
R00122,No,3,3,Agree,Unsure,Moderate
