respondent_id,ai_tool,usage_frequency,productivity_change_pct,satisfaction_score,primary_use_case
R00001,v0 by Vercel,Monthly,39.8,3,Data analysis
R00001,Stable Diffusion,Several times a week,21.9,5,Customer support automation
R00001,LLaMA / Open-source LLMs,Weekly,-1.0,4,Data analysis
R00001,Replit AI,Monthly,28.8,3,Image generation
R00002,Cursor,Monthly,49.7,5,Image generation
R00002,Tableau AI,Weekly,15.7,3,Workflow automation
R00002,Custom In-house AI,Weekly,-5.7,3,Workflow automation
R00002,AWS Bedrock,Several times a week,-4.8,4,Translation
R00002,Stable Diffusion,Several times a week,65.4,5,Debugging
R00003,Azure OpenAI,Several times a week,45.3,4,Debugging
R00004,Claude,Daily,39.0,4,Research
R00004,ChatGPT,Daily,15.1,4,Data analysis
R00004,Perplexity,Weekly,6.1,4,Writing & docs
R00004,Azure OpenAI,Daily,24.6,4,Translation
R00005,Cursor,Several times a week,31.8,5,Customer support automation
R00005,Perplexity,Daily,43.4,2,Customer support automation
R00006,Perplexity,Daily,24.1,5,Research
R00006,Claude,Weekly,14.7,4,Translation
R00006,Tableau AI,Daily,4.6,4,Data analysis
R00007,Tableau AI,Daily,30.6,2,Debugging
R00007,AWS Bedrock,Daily,44.9,5,Brainstorming
R00007,ChatGPT,Weekly,-1.1,3,Workflow automation
R00007,Claude,Weekly,38.3,4,Data analysis
R00007,Hugging Face Models,Several times a week,10.0,3,Workflow automation
R00007,Replit AI,Weekly,32.0,3,Workflow automation
R00007,Gemini,Daily,-10.2,4,Brainstorming
R00007,Stable Diffusion,Weekly,51.3,5,Data analysis
R00008,Azure OpenAI,Weekly,35.7,5,Writing & docs
R00008,Jasper AI,Several times a week,33.0,4,Debugging
R00009,Midjourney,Daily,32.9,5,Brainstorming
R00009,ChatGPT,Rarely,32.1,3,Code generation
R00009,Jasper AI,Daily,54.8,4,Customer support automation
R00009,v0 by Vercel,Daily,26.6,4,Customer support automation
R00010,Replit AI,Weekly,-2.0,5,Translation
R00010,Jasper AI,Monthly,22.8,3,Debugging
R00010,Tableau AI,Daily,2.8,5,Debugging
R00010,AWS Bedrock,Monthly,41.5,3,Data analysis
R00010,Custom In-house AI,Monthly,15.5,3,Brainstorming
R00010,ChatGPT,Several times a week,45.5,4,Writing & docs
R00011,Hugging Face Models,Several times a week,-7.4,2,Workflow automation
R00011,Devin,Daily,45.2,4,Brainstorming
R00011,Notion AI,Monthly,22.8,3,Code generation
R00011,Custom In-house AI,Daily,41.0,4,Debugging
R00011,Azure OpenAI,Several times a week,29.8,3,Writing & docs
R00011,Google Vertex AI,Weekly,55.1,5,Debugging
R00012,Devin,Several times a week,26.5,1,Writing & docs
R00012,Notion AI,Monthly,5.9,5,Workflow automation
