respondent_id,survey_year,age,gender,country,education_level,job_role,industry,company_size,years_of_experience,remote_work_status
R00001,2025,30,Male,Nigeria,PhD,Data Analyst,E-commerce,1001-5000,10,Fully Remote
R00002,2025,36,Female,Spain,Master's,Data Analyst,Legal,5000+,6,On-site
R00003,2025,18,Male,Spain,High School,AI Ethics / Policy,Technology,5000+,11,Fully Remote
R00004,2024,31,Female,India,Bachelor's,Full-Stack Developer,Telecom,5000+,21,Fully Remote
R00005,2026,34,Female,Nigeria,Master's,Data Scientist,Media & Entertainment,1-10,6,On-site
R00006,2025,24,Female,Japan,Master's,Software Engineer,Technology,11-50,6,Fully Remote
R00007,2025,43,Female,South Korea,PhD,Data Scientist,E-commerce,1001-5000,22,Fully Remote
R00008,2026,28,Male,Kenya,Master's,AI Researcher,Education,11-50,12,Fully Remote
R00009,2024,31,Male,Italy,PhD,Software Engineer,Media & Entertainment,5000+,5,Hybrid
R00010,2024,30,Male,United States,Master's,Data Scientist,Retail,201-1000,10,Fully Remote
R00011,2026,18,Male,Singapore,Master's,Full-Stack Developer,Energy,1001-5000,5,On-site
R00012,2024,40,Non-binary,Netherlands,Bachelor's,Data Scientist,Finance & Banking,1-10,5,Hybrid
R00013,2026,24,Non-binary,India,Master's,Software Engineer,Technology,201-1000,8,Hybrid
R00014,2024,30,Male,United Kingdom,Master's,Full-Stack Developer,Technology,51-200,1,Fully Remote
R00015,2024,36,Female,United States,Master's,AI Researcher,Agriculture,11-50,2,Fully Remote
R00016,2025,43,Female,Sweden,Master's,Data Engineer,Automotive,1001-5000,4,On-site
R00017,2024,23,Prefer not to say,Mexico,Bachelor's,Data Analyst,Consulting,5000+,3,On-site
R00018,2026,28,Male,France,Bachelor's,Data Engineer,Legal,51-200,9,Fully Remote
R00019,2025,43,Female,Canada,Bachelor's,AI Researcher,Finance & Banking,5000+,3,Fully Remote
R00020,2026,35,Male,India,Master's,Data Scientist,Consulting,1-10,2,Hybrid
R00021,2026,37,Male,South Korea,Master's,Data Analyst,E-commerce,1001-5000,20,Hybrid
R00022,2024,23,Male,United States,Master's,Product Manager,Consulting,201-1000,6,Hybrid
R00023,2026,28,Male,Germany,Master's,Product Manager,Education,51-200,7,On-site
R00024,2025,30,Male,UAE,Master's,Engineering Manager,Telecom,201-1000,2,Hybrid
R00025,2025,25,Male,France,PhD,ML Engineer,Healthcare,1001-5000,5,Hybrid
R00026,2026,18,Female,France,Self-taught / Bootcamp,Product Manager,Legal,201-1000,7,Fully Remote
R00027,2025,27,Female,United States,Master's,Full-Stack Developer,Technology,201-1000,3,Hybrid
R00028,2025,42,Prefer not to say,India,Master's,UX Designer,Manufacturing,5000+,9,Hybrid
R00029,2025,32,Male,Australia,Bachelor's,AI Researcher,Consulting,1001-5000,4,Hybrid
R00030,2024,42,Non-binary,United States,Master's,ML Engineer,Education,11-50,6,Fully Remote
R00031,2024,33,Female,India,Master's,Data Engineer,Finance & Banking,5000+,4,On-site
R00032,2025,25,Male,United Kingdom,Self-taught / Bootcamp,Engineering Manager,Education,201-1000,27,Hybrid
R00033,2024,42,Female,Canada,Master's,Data Scientist,E-commerce,1-10,7,Hybrid
R00034,2024,33,Female,United Kingdom,Bachelor's,ML Engineer,Technology,1001-5000,3,Hybrid
R00035,2024,39,Male,Germany,Master's,UX Designer,Government,51-200,13,Fully Remote
