respondent_id,annual_salary_usd,salary_change_yoy_pct,job_satisfaction_score,career_growth_outlook,ai_job_replacement_fear,job_search_status,received_ai_related_promotion,work_life_balance_score,burnout_level
R00001,63700.0,9.0,4,Neutral,Unlikely,Open to offers,No,1,Mild
R00002,124600.0,15.1,1,Positive,Somewhat likely,Recently changed,Yes,5,Mild
R00003,39800.0,5.2,3,Negative,Very likely,Not looking,No,4,Severe
R00004,65400.0,2.2,4,Very positive,Unlikely,Recently changed,No,3,Moderate
R00005,53800.0,20.4,2,Positive,Very likely,Actively looking,Yes,4,Severe
R00006,127400.0,7.6,5,Positive,Unlikely,Recently changed,No,4,Moderate
R00007,97000.0,-6.3,1,Positive,Very unlikely,Recently changed,No,1,Mild
R00008,81400.0,-2.8,5,Positive,Somewhat likely,Open to offers,No,5,Severe
R00009,99100.0,10.7,3,Positive,Unlikely,Not looking,No,3,Severe
R00010,134500.0,-1.8,4,Positive,Neutral,Recently changed,No,3,Mild
R00011,126700.0,-10.6,4,Neutral,Unlikely,Open to offers,No,4,Mild
R00012,37400.0,11.5,3,Positive,Somewhat likely,Not looking,No,4,Mild
R00013,46900.0,16.8,4,Positive,Neutral,Not looking,No,5,Mild
R00014,85100.0,15.9,5,Very positive,Unlikely,Not looking,Yes,2,None
R00015,122400.0,-10.8,5,Positive,Neutral,Open to offers,No,2,Moderate
R00016,137100.0,15.0,3,Very positive,Very unlikely,Not looking,No,3,Mild
R00017,31300.0,-11.5,5,Neutral,Somewhat likely,Not looking,No,5,Mild
R00018,58700.0,10.7,1,Positive,Very likely,Open to offers,No,5,Severe
R00019,188800.0,5.5,1,Neutral,Very unlikely,Open to offers,No,5,None
R00020,52100.0,2.1,2,Positive,Somewhat likely,Not looking,No,4,Mild
R00021,143800.0,-0.3,5,Neutral,Neutral,Open to offers,Yes,4,Moderate
R00022,196500.0,11.1,5,Neutral,Very unlikely,Open to offers,No,3,Moderate
R00023,10400.0,-17.7,4,Neutral,Neutral,Actively looking,Yes,1,Mild
R00024,105200.0,19.9,3,Neutral,Very likely,Open to offers,Yes,4,Mild
R00025,186100.0,16.0,4,Positive,Neutral,Not looking,No,3,None
R00026,42100.0,10.8,4,Very negative,Unlikely,Not looking,Yes,3,Mild
R00027,163800.0,6.3,4,Neutral,Somewhat likely,Not looking,No,1,Moderate
R00028,44200.0,-3.4,4,Neutral,Unlikely,Not looking,No,5,Moderate
R00029,208700.0,22.6,2,Very negative,Unlikely,Open to offers,Yes,5,None
R00030,179200.0,-5.2,1,Neutral,Somewhat likely,Actively looking,No,4,Moderate
R00031,43700.0,-0.4,3,Very positive,Neutral,Not looking,No,4,Severe
R00032,219900.0,11.5,3,Positive,Somewhat likely,Not looking,No,4,Moderate
R00033,245600.0,-8.2,5,Positive,Very unlikely,Open to offers,No,4,Moderate
R00034,154800.0,-3.2,2,Very positive,Neutral,Not looking,No,4,None
R00035,273900.0,6.7,2,Neutral,Unlikely,Open to offers,No,5,Moderate
R00036,99000.0,2.7,5,Very positive,Somewhat likely,Not looking,Yes,4,Severe
R00037,184400.0,0.6,1,Positive,Neutral,Recently changed,No,4,None
R00038,26500.0,10.1,4,Very positive,Neutral,Actively looking,No,3,Moderate
R00039,5000.0,3.5,3,Very positive,Unlikely,Actively looking,No,4,None
R00040,143900.0,-7.1,2,Positive,Very unlikely,Not looking,Yes,4,Mild
R00041,307400.0,-5.1,4,Positive,Unlikely,Open to offers,No,4,None
R00042,131800.0,9.3,1,Neutral,Unlikely,Open to offers,No,2,Moderate
R00043,160300.0,-4.9,3,Very positive,Neutral,Not looking,Yes,4,Moderate
R00044,38300.0,11.0,3,Negative,Unlikely,Actively looking,Yes,4,None
R00045,93400.0,-0.2,5,Positive,Very likely,Not looking,No,2,Moderate
R00046,243600.0,-5.0,5,Neutral,Neutral,Open to offers,No,1,None
R00047,94800.0,8.2,3,Positive,Neutral,Open to offers,No,5,Moderate
R00048,120000.0,21.1,5,Very negative,Neutral,Open to offers,No,3,Severe
R00049,197300.0,-2.0,1,Neutral,Somewhat likely,Actively looking,Yes,1,Mild
R00050,170200.0,15.9,5,Positive,Unlikely,Open to offers,No,4,Moderate
R00051,212900.0,5.4,4,Neutral,Unlikely,Open to offers,Yes,4,None
R00052,30600.0,8.6,4,Neutral,Unlikely,Not looking,No,4,Mild
R00053,135700.0,6.6,3,Neutral,Somewhat likely,Not looking,No,4,Mild
R00054,73100.0,13.8,4,Neutral,Somewhat likely,Not looking,No,3,Mild
R00055,351500.0,13.9,3,Positive,Unlikely,Not looking,No,5,None
R00056,58200.0,4.9,5,Very positive,Unlikely,Not looking,No,5,Mild
R00057,271400.0,5.6,3,Positive,Unlikely,Open to offers,No,3,None
R00058,56400.0,8.4,4,Neutral,Somewhat likely,Open to offers,No,5,Moderate
R00059,19800.0,0.8,2,Neutral,Neutral,Actively looking,No,1,Moderate
R00060,86400.0,-13.1,3,Positive,Neutral,Not looking,No,2,None
R00061,47800.0,-1.9,3,Neutral,Very likely,Not looking,No,3,Mild
R00062,25000.0,-8.4,5,Positive,Neutral,Recently changed,No,5,Moderate
R00063,160800.0,-13.9,5,Positive,Very unlikely,Actively looking,No,5,Moderate
R00064,25800.0,0.8,5,Neutral,Somewhat likely,Not looking,No,5,Mild
R00065,205700.0,17.0,3,Neutral,Unlikely,Not looking,Yes,3,Severe
R00066,213100.0,-0.0,4,Neutral,Somewhat likely,Not looking,Yes,3,Moderate
R00067,44100.0,10.4,5,Very positive,Neutral,Open to offers,No,5,Moderate
R00068,112900.0,21.0,5,Positive,Somewhat likely,Not looking,No,2,Severe
R00069,83400.0,5.2,4,Positive,Neutral,Recently changed,No,5,Mild
R00070,177100.0,3.6,3,Very positive,Neutral,Not looking,Yes,4,Mild
R00071,126900.0,-4.4,5,Negative,Unlikely,Not looking,No,3,None
R00072,102100.0,17.7,4,Very positive,Very likely,Not looking,No,4,Mild
R00073,47000.0,-8.4,4,Positive,Very likely,Not looking,No,4,None
R00074,272300.0,-2.4,4,Positive,Unlikely,Open to offers,No,4,Mild
R00075,123500.0,-0.4,3,Very positive,Somewhat likely,Not looking,No,5,None
R00076,61900.0,2.6,2,Very positive,Neutral,Not looking,No,2,None
R00077,152100.0,1.3,4,Positive,Neutral,Actively looking,No,5,Moderate
R00078,41400.0,5.9,5,Negative,Neutral,Actively looking,No,4,Severe
R00079,87000.0,4.4,2,Positive,Unlikely,Not looking,Yes,1,Moderate
R00080,72100.0,11.1,1,Neutral,Very unlikely,Not looking,No,4,Mild
R00081,274900.0,-0.8,4,Positive,Neutral,Actively looking,Yes,3,Moderate
R00082,119900.0,14.5,4,Positive,Unlikely,Not looking,No,3,None
R00083,123200.0,-0.7,1,Negative,Neutral,Not looking,No,3,Severe
R00084,154600.0,-3.9,4,Neutral,Somewhat likely,Not looking,Yes,3,Mild
R00085,212100.0,5.0,5,Negative,Somewhat likely,Open to offers,No,3,Moderate
R00086,144200.0,0.1,4,Positive,Very likely,Not looking,No,5,Mild
R00087,57900.0,-4.4,4,Neutral,Very likely,Open to offers,No,4,None
R00088,45100.0,-5.7,4,Positive,Very unlikely,Open to offers,No,3,Severe
R00089,47600.0,21.9,4,Negative,Very likely,Open to offers,No,4,Moderate
R00090,204000.0,3.3,4,Very positive,Somewhat likely,Not looking,No,5,Mild
R00091,215400.0,-7.6,5,Positive,Very unlikely,Not looking,No,5,None
R00092,176800.0,11.2,1,Very positive,Neutral,Not looking,No,4,None
R00093,170600.0,3.6,2,Positive,Unlikely,Not looking,No,5,Moderate
R00094,130700.0,-1.4,3,Neutral,Neutral,Recently changed,No,3,None
R00095,197000.0,3.2,5,Negative,Unlikely,Open to offers,No,3,Severe
R00096,166800.0,12.4,5,Negative,Neutral,Not looking,No,5,Moderate
R00097,129000.0,6.2,4,Neutral,Neutral,Not looking,No,2,Mild
R00098,241300.0,20.9,4,Positive,Very unlikely,Actively looking,No,4,Moderate
R00099,39000.0,-10.7,5,Neutral,Unlikely,Not looking,No,4,Moderate
R00100,58100.0,-4.6,1,Neutral,Unlikely,Not looking,No,1,None
R00101,65400.0,-7.9,1,Negative,Unlikely,Not looking,No,5,Severe
R00102,143200.0,-4.2,3,Neutral,Unlikely,Recently changed,No,3,Mild
R00103,80000.0,18.2,4,Negative,Neutral,Not looking,Yes,5,None
R00104,44300.0,3.1,5,Negative,Unlikely,Open to offers,Yes,4,Mild
R00105,46800.0,2.2,5,Neutral,Unlikely,Not looking,Yes,3,None
R00106,120600.0,10.0,3,Positive,Somewhat likely,Not looking,No,3,Severe
R00107,247200.0,-4.2,4,Negative,Very unlikely,Not looking,Yes,3,Mild
R00108,82300.0,11.1,1,Negative,Neutral,Open to offers,No,3,Moderate
R00109,31700.0,19.4,4,Very positive,Very likely,Not looking,Yes,4,Moderate
R00110,20400.0,-4.0,3,Negative,Very unlikely,Not looking,No,5,None
R00111,42700.0,14.5,4,Negative,Neutral,Not looking,No,3,None
R00112,198300.0,1.9,2,Positive,Somewhat likely,Not looking,Yes,5,Severe
R00113,139400.0,3.3,5,Very positive,Unlikely,Actively looking,Yes,2,Severe
R00114,301600.0,-3.6,4,Positive,Somewhat likely,Actively looking,No,3,Severe
R00115,105600.0,5.3,2,Positive,Very unlikely,Open to offers,No,3,Mild
R00116,124100.0,1.6,5,Negative,Very likely,Open to offers,No,3,Mild
R00117,60200.0,14.9,4,Neutral,Very unlikely,Not looking,No,3,None
R00118,93300.0,4.9,4,Positive,Unlikely,Not looking,No,5,None
R00119,189300.0,7.2,3,Positive,Very unlikely,Not looking,No,2,Moderate
R00120,174000.0,-11.9,3,Neutral,Unlikely,Open to offers,Yes,3,Moderate
R00121,121800.0,4.2,4,Positive,Somewhat likely,Open to offers,Yes,4,Severe
R00122,158700.0,5.3,4,Neutral,Unlikely,Open to offers,No,4,Mild
R00123,159900.0,5.7,5,Very positive,Neutral,Open to offers,Yes,2,Severe
R00124,114000.0,13.1,5,Positive,Unlikely,Not looking,No,3,None
R00125,29300.0,5.0,4,Negative,Unlikely,Recently changed,No,3,None
R00126,175300.0,12.8,1,Negative,Very likely,Open to offers,Yes,3,Mild
R00127,83200.0,15.0,4,Positive,Very unlikely,Open to offers,No,4,Severe
R00128,31000.0,8.1,3,Positive,Unlikely,Not looking,No,3,Moderate
R00129,78500.0,8.7,3,Negative,Neutral,Actively looking,No,3,Mild
R00130,146900.0,-5.3,3,Positive,Somewhat likely,Open to offers,No,2,None
R00131,56400.0,12.8,3,Very negative,Unlikely,Open to offers,No,2,Mild
R00132,162300.0,5.3,2,Negative,Neutral,Actively looking,No,4,None
R00133,32700.0,4.9,5,Positive,Neutral,Recently changed,No,4,Moderate
R00134,56100.0,1.2,3,Very negative,Very unlikely,Not looking,No,4,Mild
R00135,111300.0,5.3,4,Positive,Somewhat likely,Open to offers,No,4,Severe
R00136,140000.0,8.7,1,Very negative,Neutral,Open to offers,No,2,Mild
R00137,112700.0,10.0,4,Positive,Somewhat likely,Not looking,No,3,None
R00138,175200.0,-18.6,4,Positive,Neutral,Not looking,No,1,Severe
R00139,47800.0,7.0,4,Very positive,Somewhat likely,Actively looking,No,4,Moderate
R00140,35700.0,19.0,5,Very positive,Very unlikely,Open to offers,No,5,None
R00141,109200.0,15.3,4,Very positive,Unlikely,Open to offers,No,2,Mild
R00142,248700.0,15.6,3,Negative,Very unlikely,Open to offers,No,4,Mild
R00143,91800.0,26.3,4,Neutral,Very unlikely,Open to offers,No,3,Moderate
R00144,65200.0,7.7,3,Neutral,Neutral,Not looking,No,3,Mild
R00145,47100.0,6.3,1,Neutral,Somewhat likely,Not looking,Yes,3,Moderate
R00146,72900.0,15.5,3,Negative,Neutral,Actively looking,Yes,5,Moderate
R00147,57100.0,6.4,1,Positive,Very unlikely,Actively looking,No,2,Severe
R00148,44600.0,11.0,3,Neutral,Unlikely,Open to offers,Yes,4,Mild
R00149,82100.0,-1.2,4,Positive,Neutral,Not looking,No,4,Moderate
R00150,173000.0,8.5,3,Positive,Unlikely,Not looking,No,3,Moderate
R00151,200600.0,3.9,4,Negative,Neutral,Recently changed,No,3,Moderate
R00152,177800.0,8.8,2,Negative,Somewhat likely,Open to offers,No,1,Moderate
R00153,197500.0,4.3,3,Positive,Unlikely,Not looking,No,3,Mild
R00154,58100.0,10.5,1,Very negative,Neutral,Not looking,No,3,Mild
R00155,190200.0,2.3,1,Positive,Neutral,Not looking,Yes,2,Moderate
R00156,158900.0,9.3,3,Negative,Unlikely,Not looking,No,2,None
R00157,105200.0,22.6,4,Positive,Neutral,Actively looking,Yes,2,None
R00158,167000.0,3.7,3,Negative,Neutral,Recently changed,No,4,Moderate
R00159,138100.0,18.6,3,Positive,Unlikely,Not looking,No,5,None
