respondent_id,skills,num_skills,top_certification,weekly_learning_hours,primary_learning_platform,learned_genai_skills_2024_2026,employer_provides_ai_training
R00001,Computer Vision; Feature Engineering; Python; Kubernetes; Transformers; TensorFlow; AWS; Generative AI; Graph Neural Networks,9,,3,Fast.ai,Yes,Partially
R00002,SQL; Graph Neural Networks; Generative AI; Feature Engineering; MLOps; PyTorch; A/B Testing; GCP; TensorFlow; Edge AI / TinyML,10,,8,Self-study (books/papers),Yes,No
R00003,Python; Prompt Engineering; PyTorch; Spark; R; Statistics; A/B Testing; Docker,8,AWS ML Specialty,8,Kaggle Learn,Yes,No
R00004,Azure; Time Series Analysis; R; Scikit-learn; AWS; Transformers,6,AWS ML Specialty,12,University courses,Yes,Yes
R00005,Time Series Analysis; R; PyTorch; Fine-tuning LLMs; RAG Pipelines; MLOps; Kubernetes; Spark; Generative AI,9,TensorFlow Developer Certificate,15,University courses,No,No
R00006,Data Visualization; Spark; TensorFlow; Kubernetes; Statistics; Edge AI / TinyML; Pandas; Graph Neural Networks,8,Coursera ML Certificate,10,Fast.ai,Yes,Partially
R00007,TensorFlow; Statistics; MLOps; AWS; Fine-tuning LLMs; Spark; Computer Vision; Azure; PyTorch,9,,0,Udemy,Yes,Yes
R00008,LangChain; SQL; Pandas; Kubernetes; Azure; Reinforcement Learning; Python; Scikit-learn; Time Series Analysis; Prompt Engineering; AWS; Generative AI; NLP; A/B Testing; Graph Neural Networks,15,AWS ML Specialty,17,Udemy,No,Yes
R00009,Computer Vision; Data Visualization; GCP; R; Statistics; Transformers; Python,7,,2,Udemy,Yes,Partially
R00010,Python; Fine-tuning LLMs; Transformers; A/B Testing; Pandas,5,,0,Kaggle Learn,No,Yes
R00011,Feature Engineering; NLP; Python; Azure; SQL; GCP; Prompt Engineering; Graph Neural Networks; LangChain,9,Google Professional ML Engineer,10,LinkedIn Learning,Yes,No
R00012,Edge AI / TinyML; TensorFlow; Docker; Pandas; Computer Vision,5,TensorFlow Developer Certificate,6,Fast.ai,No,Partially
R00013,Fine-tuning LLMs; Edge AI / TinyML; R; LangChain; Transformers; Prompt Engineering; GCP,7,Azure AI Engineer,2,Self-study (books/papers),Yes,Yes
R00014,Spark; Kubernetes; Transformers; Edge AI / TinyML; SQL; Computer Vision,6,DeepLearning.AI Specialization,0,LinkedIn Learning,No,Partially
R00015,A/B Testing; Data Visualization; Fine-tuning LLMs; Time Series Analysis; Pandas; RAG Pipelines; R; Feature Engineering,8,,0,Pluralsight,No,Partially
R00016,Data Visualization; Transformers; Kubernetes; Graph Neural Networks; GCP,5,Kaggle Competitions Expert,2,LinkedIn Learning,Yes,No
R00017,Prompt Engineering; Pandas; Spark; Azure; PyTorch; RAG Pipelines; NLP; Data Visualization; GCP; Docker; Scikit-learn; R; LangChain; Kubernetes; Time Series Analysis,15,,5,Udemy,Yes,Yes
R00018,Kubernetes; Pandas; TensorFlow; MLOps; Edge AI / TinyML; Reinforcement Learning; RAG Pipelines; Python; Spark,9,Kaggle Competitions Expert,12,University courses,Yes,No
R00019,MLOps; Reinforcement Learning; Computer Vision; Edge AI / TinyML; Fine-tuning LLMs; Graph Neural Networks; TensorFlow; Transformers; Generative AI,9,AWS ML Specialty,12,Pluralsight,No,Yes
R00020,Fine-tuning LLMs; SQL; RAG Pipelines; MLOps; Computer Vision; Azure; Generative AI; R; GCP; Time Series Analysis; AWS; Python,12,DeepLearning.AI Specialization,3,Udemy,Yes,No
R00021,SQL; Time Series Analysis; Edge AI / TinyML; Prompt Engineering; RAG Pipelines; MLOps; NLP; Python,8,DeepLearning.AI Specialization,4,DeepLearning.AI,No,Partially
R00022,Computer Vision; RAG Pipelines; Statistics; AWS; Spark; Feature Engineering; Scikit-learn; NLP; Time Series Analysis; Python,10,AWS ML Specialty,5,LinkedIn Learning,Yes,Yes
R00023,Feature Engineering; Fine-tuning LLMs; Edge AI / TinyML; Generative AI; Data Visualization; Transformers; Scikit-learn; Prompt Engineering,8,,10,YouTube,Yes,Yes
R00024,Scikit-learn; Kubernetes; Statistics; RAG Pipelines; Time Series Analysis; Azure; PyTorch; Edge AI / TinyML,8,Azure AI Engineer,4,Coursera,Yes,No
R00025,Scikit-learn; Edge AI / TinyML; Azure; A/B Testing; Docker; Computer Vision; Graph Neural Networks,7,,3,Kaggle Learn,No,No
R00026,PyTorch; Graph Neural Networks; GCP; Scikit-learn,4,,0,Company training,Yes,Partially
R00027,Fine-tuning LLMs; Docker; R; MLOps; RAG Pipelines; GCP,6,AWS ML Specialty,7,YouTube,Yes,Yes
R00028,RAG Pipelines; Time Series Analysis; R; A/B Testing; SQL; PyTorch; Scikit-learn; TensorFlow; GCP; Pandas; Kubernetes,11,Coursera ML Certificate,19,Kaggle Learn,Yes,Yes
R00029,A/B Testing; Reinforcement Learning; R; Graph Neural Networks; Kubernetes; Feature Engineering; Data Visualization; TensorFlow; Computer Vision,9,,9,Pluralsight,No,Partially
R00030,TensorFlow; Computer Vision; R,3,TensorFlow Developer Certificate,13,Fast.ai,Yes,Partially
R00031,Edge AI / TinyML; Statistics; Feature Engineering; TensorFlow; Python; Scikit-learn,6,Azure AI Engineer,14,edX,Yes,No
R00032,MLOps; Feature Engineering; Azure; Pandas; Scikit-learn; Edge AI / TinyML; AWS; Python; A/B Testing; Spark,10,,4,edX,Yes,Partially
R00033,GCP; MLOps; Reinforcement Learning; Docker; Statistics; PyTorch; LangChain,7,Google Professional ML Engineer,7,Self-study (books/papers),No,Yes
R00034,AWS; Reinforcement Learning; Transformers; Pandas; NLP; Spark; Graph Neural Networks; Time Series Analysis,8,DeepLearning.AI Specialization,0,Pluralsight,Yes,Yes
R00035,Azure; RAG Pipelines; A/B Testing; Generative AI; Transformers; Python; GCP; Spark; R; PyTorch,10,,5,University courses,No,No
R00036,Scikit-learn; MLOps; Reinforcement Learning; LangChain; Transformers; Computer Vision; Fine-tuning LLMs; RAG Pipelines; Data Visualization; NLP; GCP; Edge AI / TinyML,12,DeepLearning.AI Specialization,8,Fast.ai,Yes,No
R00037,Transformers; Data Visualization; NLP; Docker; Prompt Engineering; Graph Neural Networks; Fine-tuning LLMs; Azure; GCP; Computer Vision,10,,12,YouTube,Yes,Partially
R00038,A/B Testing; NLP; Azure; Graph Neural Networks; GCP; Feature Engineering; Computer Vision; MLOps,8,DeepLearning.AI Specialization,9,YouTube,Yes,Partially
R00039,Transformers; PyTorch; Computer Vision; AWS; Statistics; Edge AI / TinyML; Feature Engineering; Fine-tuning LLMs; Time Series Analysis; Spark; SQL; A/B Testing; Generative AI; Docker,14,Kaggle Competitions Expert,3,Pluralsight,No,Partially
R00040,Docker; TensorFlow; Spark; Data Visualization; Statistics; Pandas; Time Series Analysis,7,Azure AI Engineer,3,Company training,Yes,Yes
R00041,PyTorch; Kubernetes; RAG Pipelines; LangChain; Feature Engineering; Spark; Generative AI,7,,8,Udemy,No,Partially
R00042,Graph Neural Networks; MLOps; RAG Pipelines; Data Visualization; Docker; SQL; Azure; Prompt Engineering,8,Kaggle Competitions Expert,4,edX,Yes,Yes
R00043,R; Computer Vision; Prompt Engineering; MLOps; Fine-tuning LLMs; PyTorch,6,Kaggle Competitions Expert,9,YouTube,Yes,No
R00044,RAG Pipelines; NLP; Scikit-learn; AWS; GCP; Edge AI / TinyML; TensorFlow; MLOps; PyTorch,9,Kaggle Competitions Expert,10,Kaggle Learn,Yes,Partially
R00045,RAG Pipelines; SQL; Data Visualization; Graph Neural Networks; Transformers; Fine-tuning LLMs; R; Prompt Engineering; MLOps,9,Google Professional ML Engineer,0,Company training,No,Partially
R00046,Prompt Engineering; MLOps; SQL; Azure; Python; R; Docker; Transformers,8,TensorFlow Developer Certificate,8,Pluralsight,No,No
R00047,AWS; Statistics; Spark; LangChain; Fine-tuning LLMs; Transformers; Feature Engineering; Scikit-learn; Azure; PyTorch,10,DeepLearning.AI Specialization,8,YouTube,No,Yes
R00048,Docker; Kubernetes; LangChain; Data Visualization; Statistics; Generative AI; Feature Engineering; NLP; Edge AI / TinyML; Spark; GCP,11,,21,Fast.ai,Yes,Partially
R00049,LangChain; Time Series Analysis; GCP; R; Prompt Engineering; Spark; Graph Neural Networks; MLOps; RAG Pipelines; A/B Testing; PyTorch,11,Azure AI Engineer,8,Udemy,Yes,Yes
R00050,SQL; RAG Pipelines; Statistics; Data Visualization; Edge AI / TinyML; Kubernetes,6,TensorFlow Developer Certificate,7,Fast.ai,Yes,Partially
R00051,PyTorch; Docker; Pandas; MLOps; GCP; Fine-tuning LLMs; Time Series Analysis; Computer Vision; TensorFlow; Edge AI / TinyML; A/B Testing; Reinforcement Learning; Kubernetes; Transformers,14,,3,edX,No,Yes
R00052,A/B Testing; PyTorch; Feature Engineering; Fine-tuning LLMs; Azure; TensorFlow; Kubernetes; Edge AI / TinyML; Docker; GCP,10,,3,DeepLearning.AI,Yes,No
R00053,SQL; RAG Pipelines; Azure; GCP; Feature Engineering; Edge AI / TinyML; MLOps; AWS; Reinforcement Learning; Time Series Analysis; Scikit-learn; Kubernetes; PyTorch; Docker,14,DeepLearning.AI Specialization,13,Kaggle Learn,Yes,No
R00054,Python; Generative AI; MLOps; R; TensorFlow; Graph Neural Networks; PyTorch,7,AWS ML Specialty,0,Coursera,Yes,Partially
R00055,Data Visualization; Fine-tuning LLMs; Generative AI; Transformers; NLP,5,DeepLearning.AI Specialization,10,University courses,Yes,Yes
R00056,TensorFlow; Scikit-learn; Transformers; RAG Pipelines; LangChain; Statistics; Edge AI / TinyML; A/B Testing,8,DeepLearning.AI Specialization,1,Coursera,Yes,Partially
R00057,Spark; LangChain; Feature Engineering; R; Python; TensorFlow; Time Series Analysis; NLP; SQL; Generative AI; Data Visualization; A/B Testing; GCP,13,Google Professional ML Engineer,9,Coursera,No,Yes
R00058,R; Scikit-learn; Reinforcement Learning; Data Visualization; RAG Pipelines; Pandas; Feature Engineering; NLP,8,,9,DeepLearning.AI,Yes,Partially
R00059,Kubernetes; MLOps; Spark; Transformers; Fine-tuning LLMs; NLP; Azure; Time Series Analysis; Edge AI / TinyML; Data Visualization; Prompt Engineering; Pandas; TensorFlow; PyTorch,14,,9,LinkedIn Learning,Yes,Yes
R00060,Time Series Analysis; SQL; PyTorch; Graph Neural Networks; Pandas; Generative AI; Prompt Engineering; Reinforcement Learning; A/B Testing; Scikit-learn; Python,11,Azure AI Engineer,10,Fast.ai,Yes,Partially
R00061,Edge AI / TinyML; Transformers; Pandas; Feature Engineering,4,Azure AI Engineer,8,Coursera,Yes,No
R00062,RAG Pipelines; Statistics; PyTorch; AWS; Kubernetes; Edge AI / TinyML; R,7,Azure AI Engineer,14,Udemy,Yes,Partially
R00063,Data Visualization; RAG Pipelines; MLOps; Pandas; Generative AI,5,TensorFlow Developer Certificate,6,YouTube,Yes,No
R00064,SQL; Fine-tuning LLMs; RAG Pipelines; Prompt Engineering; TensorFlow; Data Visualization; Kubernetes; PyTorch,8,Google Professional ML Engineer,1,DeepLearning.AI,No,Yes
R00065,SQL; Azure; GCP; AWS; Graph Neural Networks; Feature Engineering; Time Series Analysis; Generative AI,8,TensorFlow Developer Certificate,5,Self-study (books/papers),Yes,No
R00066,Kubernetes; MLOps; Reinforcement Learning; Docker; GCP; LangChain; PyTorch; Prompt Engineering; Spark; Statistics; Graph Neural Networks; R,12,,11,Udemy,No,No
R00067,Graph Neural Networks; Scikit-learn; A/B Testing; Azure; Time Series Analysis; PyTorch; GCP; MLOps; SQL; AWS; Computer Vision,11,Kaggle Competitions Expert,0,Kaggle Learn,Yes,Partially
R00068,GCP; Generative AI; Python; Spark; Kubernetes; Computer Vision; Statistics,7,AWS ML Specialty,9,University courses,No,No
R00069,Fine-tuning LLMs; Azure; RAG Pipelines; Edge AI / TinyML; Python; Kubernetes; NLP; Feature Engineering,8,DeepLearning.AI Specialization,12,Self-study (books/papers),Yes,No
R00070,Feature Engineering; Fine-tuning LLMs; Azure; PyTorch; Kubernetes; Scikit-learn; SQL; Pandas; Docker,9,,0,DeepLearning.AI,Yes,Partially
R00071,RAG Pipelines; Graph Neural Networks; Python; A/B Testing; TensorFlow; PyTorch,6,Azure AI Engineer,6,Company training,No,No
R00072,Reinforcement Learning; Transformers; Docker; Time Series Analysis; AWS; Azure,6,AWS ML Specialty,6,Kaggle Learn,No,No
R00073,Docker; Feature Engineering; Azure; Computer Vision; MLOps,5,,4,Self-study (books/papers),No,Yes
R00074,Scikit-learn; R; SQL; TensorFlow; Edge AI / TinyML; LangChain; MLOps,7,,10,Pluralsight,No,No
R00075,GCP; R; Scikit-learn; Docker; Data Visualization; MLOps; Statistics; Kubernetes; LangChain; Feature Engineering; Python; Transformers; Prompt Engineering,13,AWS ML Specialty,3,Self-study (books/papers),No,No
R00076,Edge AI / TinyML; GCP; Spark; Computer Vision; MLOps; Data Visualization; Feature Engineering; Docker; Pandas,9,AWS ML Specialty,4,YouTube,No,No
R00077,Docker; Computer Vision; Kubernetes; Spark; TensorFlow; SQL; Python,7,,0,Kaggle Learn,Yes,Partially
R00078,Spark; Docker; Pandas; TensorFlow; Transformers; A/B Testing; Fine-tuning LLMs; Generative AI; Graph Neural Networks; Python; GCP; Time Series Analysis; Data Visualization; PyTorch; Azure,15,DeepLearning.AI Specialization,7,Coursera,No,Yes
R00079,Time Series Analysis; Edge AI / TinyML; Graph Neural Networks; RAG Pipelines,4,,10,YouTube,No,Yes
R00080,Reinforcement Learning; Edge AI / TinyML; AWS; Spark; Azure; Docker,6,Google Professional ML Engineer,8,LinkedIn Learning,No,Yes
R00081,Kubernetes; RAG Pipelines; Prompt Engineering; LangChain; Generative AI; GCP; NLP,7,Azure AI Engineer,0,Pluralsight,Yes,Yes
R00082,NLP; Data Visualization; Edge AI / TinyML; Graph Neural Networks; Time Series Analysis; Generative AI; Scikit-learn,7,Google Professional ML Engineer,9,Company training,No,Partially
R00083,LangChain; Generative AI; Feature Engineering; Statistics; Fine-tuning LLMs; Reinforcement Learning; RAG Pipelines; Scikit-learn; R,9,Coursera ML Certificate,13,Fast.ai,Yes,Yes
R00084,Reinforcement Learning; Spark; Graph Neural Networks; Generative AI; MLOps; LangChain; Data Visualization; SQL; AWS; R; Transformers; Docker; A/B Testing; RAG Pipelines; Time Series Analysis,15,,7,Company training,Yes,Partially
